,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
0,+0,World,224607667,"+589,207",4629724.0,"+8,931",201148565.0,"+546,418",18829378.0,103614.0,28815.0,594.0,+0,+0,+0
1,1.0,USA,41739682,"+169,114",676989.0,"+1,733",31820994.0,"+76,035",9241699.0,25749.0,125226.0,2031.0,602794033.0,1808479.0,333315463.0
2,2.0,India,33200877,"+37,873",442350.0,+304,32358246.0,"+36,963",400281.0,8944.0,23780.0,317.0,538604854.0,385776.0,1396161118.0
3,3.0,Brazil,20974850,"+15,951",585923.0,+718,20016161.0,"+13,599",372766.0,8318.0,97849.0,2733.0,57095219.0,266353.0,214359491.0
4,4.0,UK,7168806,"+37,622",133988.0,+147,5746286.0,"+24,014",1288532.0,1060.0,104944.0,1961.0,282141831.0,4130257.0,68310968.0
5,5.0,Russia,7102625,"+18,341",191165.0,+789,6357272.0,"+17,121",554188.0,2300.0,48645.0,1309.0,182700000.0,1251292.0,146009080.0
6,6.0,France,6887791,"+9,966",115442.0,+80,6486949.0,"+22,533",285400.0,2223.0,105244.0,1764.0,130942169.0,2000776.0,65445703.0
7,7.0,Turkey,6613976,"+23,562",59384.0,+214,6090902.0,"+35,083",463690.0,633.0,77429.0,695.0,79460452.0,930237.0,85419612.0
8,8.0,Iran,5258913,"+21,114",113380.0,+445,4509905.0,"+28,091",635628.0,7418.0,61672.0,1330.0,30017378.0,352017.0,85272528.0
9,9.0,Argentina,5221809,"+2,816",113282.0,+183,5067105.0,"+4,990",41422.0,2172.0,114289.0,2479.0,24252818.0,530816.0,45689695.0
10,10.0,Colombia,4926772,"+1,772",125529.0,+49,4763695.0,"+2,322",37548.0,542.0,95612.0,2436.0,24651488.0,478404.0,51528639.0
11,11.0,Spain,4907461,"+4,440",85290.0,+72,4542552.0,"+13,141",279619.0,1227.0,104913.0,1823.0,62288714.0,1331628.0,46776373.0
